Target Distance: 100, Step Size: 1
0: (x,y) = (0,0)
1: (x,y) = (0.656059,0.75471)
2: (x,y) = (-0.300246,1.04708)
3: (x,y) = (0.394413,1.76642)
4: (x,y) = (0.70343,0.815365)
5: (x,y) = (0.685977,-0.184483)
6: (x,y) = (-0.253715,0.157537)
7: (x,y) = (0.415415,-0.585608)
8: (x,y) = (-0.303925,-1.28027)
9: (x,y) = (-1.10256,-0.678451)
10: (x,y) = (-1.27621,0.306357)
11: (x,y) = (-1.58523,-0.6447)
12: (x,y) = (-2.49153,-0.222082)
13: (x,y) = (-1.68252,-0.809867)
14: (x,y) = (-0.951162,-1.49187)
15: (x,y) = (-1.94736,-1.40471)
16: (x,y) = (-1.04856,-1.84308)
17: (x,y) = (-1.47118,-0.936773)
18: (x,y) = (-0.514877,-1.22914)
19: (x,y) = (-0.999686,-0.354525)
20: (x,y) = (-0.0384244,-0.630162)
21: (x,y) = (-0.733083,-1.3495)
22: (x,y) = (0.248544,-1.15869)
23: (x,y) = (-0.394243,-1.92474)
24: (x,y) = (0.393768,-2.5404)
25: (x,y) = (1.10087,-1.83329)
26: (x,y) = (1.92003,-2.40687)
27: (x,y) = (1.04541,-1.92206)
28: (x,y) = (1.59005,-2.76073)
29: (x,y) = (2.16362,-3.57988)
30: (x,y) = (1.44428,-4.27454)
31: (x,y) = (1.32241,-5.26709)
32: (x,y) = (0.627755,-5.98643)
33: (x,y) = (1.51876,-5.53244)
34: (x,y) = (2.14808,-6.30958)
35: (x,y) = (3.03909,-5.85559)
36: (x,y) = (2.06094,-5.64768)
37: (x,y) = (3.00646,-5.97325)
38: (x,y) = (2.14929,-6.48829)
39: (x,y) = (2.04476,-7.48281)
40: (x,y) = (1.48557,-6.65377)
41: (x,y) = (2.14163,-7.40848)
42: (x,y) = (1.22808,-7.00174)
43: (x,y) = (0.353464,-6.51693)
44: (x,y) = (-0.485206,-5.97229)
45: (x,y) = (-0.875937,-5.05179)
46: (x,y) = (-1.82699,-5.36081)
47: (x,y) = (-2.35691,-4.51276)
48: (x,y) = (-2.53056,-3.52795)
49: (x,y) = (-3.52995,-3.56285)
50: (x,y) = (-3.92068,-2.64234)
51: (x,y) = (-3.81615,-1.64782)
52: (x,y) = (-3.14702,-0.904678)
53: (x,y) = (-2.14839,-0.957014)
54: (x,y) = (-3.14292,-1.06154)
55: (x,y) = (-3.61239,-1.94449)
56: (x,y) = (-3.54263,-2.94205)
57: (x,y) = (-2.62909,-2.53532)
58: (x,y) = (-2.71624,-3.53151)
59: (x,y) = (-3.51488,-4.13333)
60: (x,y) = (-2.65771,-4.64837)
61: (x,y) = (-3.28703,-3.87122)
62: (x,y) = (-3.78703,-3.00519)
63: (x,y) = (-3.3963,-2.08469)
64: (x,y) = (-4.30984,-1.67795)
65: (x,y) = (-3.79481,-2.53512)
66: (x,y) = (-3.86456,-1.53756)
67: (x,y) = (-4.82583,-1.81319)
68: (x,y) = (-4.61791,-2.79134)
69: (x,y) = (-4.04434,-3.61049)
70: (x,y) = (-4.21799,-2.62569)
71: (x,y) = (-4.07881,-3.61595)
72: (x,y) = (-4.69447,-2.82794)
73: (x,y) = (-4.9364,-3.79824)
74: (x,y) = (-4.59438,-2.85855)
75: (x,y) = (-4.48985,-3.85307)
76: (x,y) = (-4.97466,-4.72769)
77: (x,y) = (-5.00956,-5.72708)
78: (x,y) = (-5.00956,-6.72708)
79: (x,y) = (-4.06404,-7.05265)
80: (x,y) = (-4.06404,-6.05265)
81: (x,y) = (-3.14353,-5.66191)
82: (x,y) = (-2.67406,-6.54486)
83: (x,y) = (-1.68925,-6.37121)
84: (x,y) = (-0.749561,-6.02919)
85: (x,y) = (-1.30875,-5.20016)
86: (x,y) = (-1.86795,-4.37112)
87: (x,y) = (-2.83824,-4.1292)
88: (x,y) = (-3.68629,-3.59928)
89: (x,y) = (-2.82026,-3.09928)
90: (x,y) = (-1.90672,-2.69254)
91: (x,y) = (-0.925092,-2.88335)
92: (x,y) = (-0.0679248,-2.36831)
93: (x,y) = (0.893337,-2.09267)
94: (x,y) = (1.21891,-3.03819)
95: (x,y) = (1.71891,-2.17217)
96: (x,y) = (0.734097,-2.34582)
97: (x,y) = (1.6546,-1.95509)
98: (x,y) = (1.41268,-2.92538)
99: (x,y) = (2.37394,-3.20102)
100: (x,y) = (1.44036,-3.55939)
101: (x,y) = (2.43899,-3.61172)
102: (x,y) = (2.31712,-4.60427)
103: (x,y) = (1.38354,-4.96264)
104: (x,y) = (0.809965,-4.14348)
105: (x,y) = (-0.096343,-4.5661)
106: (x,y) = (-0.550333,-3.6751)
107: (x,y) = (0.442213,-3.55323)
108: (x,y) = (0.0514815,-2.63272)
109: (x,y) = (-0.139327,-3.61435)
110: (x,y) = (-0.905372,-4.25714)
111: (x,y) = (-0.66345,-3.28684)
112: (x,y) = (-0.438499,-4.26121)
113: (x,y) = (-1.36568,-3.8866)
114: (x,y) = (-0.622538,-4.55573)
115: (x,y) = (-1.61873,-4.46858)
116: (x,y) = (-2.52504,-4.04596)
117: (x,y) = (-1.81793,-4.75307)
118: (x,y) = (-0.866877,-5.06208)
119: (x,y) = (-1.86307,-4.97493)
120: (x,y) = (-0.897146,-5.23375)
121: (x,y) = (-1.42707,-6.0818)
122: (x,y) = (-0.62843,-5.47998)
